,Unnamed: 0,cause,effect,explanation,Cause:Effect,Cause+Truth:Effect,Cause:Truth+Effect
55,55,The school will hold a ceremony the day after tomorrow.,The school will hold a simulation in advance tomorrow.,Simulation follows ceremony.,0.015394624468850088,0.01734924185986316,0.0178184788121607
56,56,Tom has taken use of two pieces of magnets to make his experiment.,He has proved something about the attraction.,Magnetism is a property of the atom itself.,0.01348719339431444,0.016137918356352383,0.08234076941885787
57,57,The small chicken shoud be incubated under the same temperature.,Tom takes use of a thermostat.,Thermostats provide warmth.,0.06022627614124107,0.005820639995686536,0.05274598545757741
58,58,She is allergic to yeast.,She cannot have contact with dough.,Dough contains yeast.,0.03581584757361605,0.032767353092500937,0.062488495289974515
59,59,The workers have no idea about how to operate the computer.,The leader taught them in person.,People need instruction.,0.015200353750794622,0.01644851896457634,0.01799921789341618
60,60,The patient with fibroadenomas read his report of mammography.,He was in relief for its benign appearance.,Fibroadenomas are usually benign.,0.03942587974422856,0.02427648393724478,0.06677887521120626
61,61,The children will be shipped off to a boarding school.,Their parents taught their children how to solve living problems independently before going to school.,Boards provide education.,0.03682558212183698,0.05912545596428306,0.037290615711988044
62,62,He went to school.,He learned a lot.,School learns skills.,0.01646221828625925,0.014425316025669566,0.02388074662193749
63,63,The workers are in charge of cleaning debris.,They have to consider the waste.,Debris includes waste.,0.010451144518567518,0.0074869840655950835,0.01859825064842784
64,64,He asked the cardiologist to watch the condition of the heart.,The doctor said that his heart rhythm is uneven.,Rhythms are rhythms created by the heart.,0.050338897024436925,0.04867110001478203,0.0684847579238052
65,65,Enzymes are necessary for children's growth.,Children are encouraged to eat sprouts.,Sprouts contain enzymes.,0.020439427988457267,0.018205659950305913,0.02006130228277084
66,66,The house of the people holds justice.,Parliament is a place of justice.,Parliaments are houses of the people.,0.017417088088976202,0.017867888259865034,0.012644137672180353
67,67,The man devoted himself to journalism.,He mastered the popular language used in pursuit of truth.,Journalism is the science of truth.,0.021615281933856294,0.02704802436363431,0.023018453016790116
68,68,Tom found a small dome-shaped beetle.,He said he got a ladybug.,Ladybugs are small dome-shaped beetles.,0.1733950564577081,0.00951175574624805,0.2592757186550187
69,69,The primates didn't want to be exhibit animals.,They escaped from the zoo.,Zoos display primates.,0.07052280543890596,0.01578762251273046,0.12399387118561253
70,70,The root of the plant rotted.,"In order to save the plant, Tom gave it a rhizoid.",Rhizoids are life sustaining.,0.007510950837490321,0.0136257279713858,0.007983069423190102
71,71,Tom was a shepherd.,He took care of a flock of sheep.,Shepherds take care.,0.19479108475813497,0.014666934058468448,0.16865497066600563
72,72,Tom feels that his asthma is about to attack.,He eats some singulars.,S singulars are asthma triggers.,0.009615161148109756,0.008857449831120462,0.017126631814141736
73,73,The teacher gives an example to illustrate the grammar point.,But the students can't understand the example.,Examples have limitations.,0.04053010045730396,0.033710010494948026,0.04095881426330534
74,74,Nobody has seen edaphosauruses before.,The scientist observed its appearance.,Edaphosauruses have appearances.,0.00576011320309794,0.007390244870112248,0.00482800702502342
75,75,All relatives entered the family room.,They sat on the chairs one by one.,Relatives sit on chairs.,0.00584010085661476,0.002297301792577084,0.014635370980052282
76,76,"There are many people, among which part of them are with normal sight and part of them are blind.",Normal people can see everything and blind people are in a dark world without any light.,Sight is the ability to see things.,0.02570233472014525,0.02775893434800834,0.02877975454863888
77,77,The wine must be kept from becoming flabby.,Acidity should be used.,Acidity helps prevent the wine from becoming flabby.,0.09426102609471815,0.10738041602763887,0.06455512738765633
78,78,Tom ran into an anemone.,He was poisoned.,Anemones are poisonous.,0.005692790458810497,0.014724095577929659,0.004587727593978561
79,79,The company keeps the steel in a wet warehouse.,The company loses one million due to rust after a few months.,Steel loses moisture.,0.06470988736974856,0.06628378918412406,0.06348629272419481
80,80,Mary ate lots of chocolate.,She also intook theobromine.,Theobromine is also in chocolate.,7.443383762258322e-05,9.275601303737294e-05,0.00010306223670819217
81,81,Tracheilds are not suitable to be used as fire materials.,Farmers do not use softwoods as firewoods.,Softwoods contain only tracheids.,0.032163151181195074,0.01712169621665454,0.04678398156515629
82,82,The field was very quiet at night.,The silence was broken by several bird calls.,Fields attract songbirds.,0.029837244885225916,0.04260817589752082,0.03079579591233712
83,83,The possum has eaten an ill bird.,It died.,Possums acquire the disease by eating infected birds.,0.01205101448835407,0.013010627128495236,0.060064201463968896
84,84,He served as an accountant in this company.,He worked hard to manage the balance.,Accounting is the management of balance.,0.011629884488441164,0.015305556441743839,0.023699579667419486
85,85,Lyle has ophthalmologist.,Lyle's doctor treated him with a laser.,Ophthalmologists use lasers to treat a variety of eye problems.,0.010364830448114797,0.02616847764084715,0.02106620771613023
86,86,This experiment requires a gray-white solid with a shiny surface.,The teacher provided tellurium.,Tellurium is a gray-white solid with a shiny surface.,0.008820024622035428,0.006242127061311328,0.01427830848018913
87,87,Their new baby born yesterday.,This new life starts to cry.,New life begins with new life.,0.03962361109071449,0.03394372871206713,0.03537547951020483
88,88,The vocal folds vibrated.,Compression sound waves were produced.,Vibration creates compression sound waves.,0.0525736257044471,0.032835313157164106,0.16559812440505597
89,89,Jack's hemoglobin levels are low.,He has been dizzy lately.,Hemoglobin levels affect perceptions.,0.013285145906006953,0.008716098148406383,0.017602775481960067
90,90,Jerry was baptized.,He was identified by the believers.,Baptism is identification with the believers.,0.03929236652807971,0.00845576681337689,0.4457305896798571
91,91,"Emma, who is a regular coffee drinker, is very hyper these days.",The doctor diagnosed him as caffeinism.,Caffeinism is a side effect of coffee.,0.007689302466939795,0.00849093712584057,0.011906031767270099
92,92,Tom eats some health products containing enzymes every day.,He defecates on time every day.,Metabolism takes place by enzymatic catalysis.,0.013389130954483556,0.013951220777568576,0.08202311398247451
93,93,The angry patient was injected depressants.,He felt calm and relaxed.,Depressants produce relaxed calm feelings.,0.033263733650424926,0.05915778322861902,0.05328983620281873
94,94,The victims were taken to the police office to identify the crimnimal.,They tried to recall the face of the criminal.,Victims have faces.,0.03576299056586417,0.032679378955125696,0.053155384239233786
95,95,Lucy has bought a llot of fresh fruit.,She has made a glass of smoothy.,Smoothies are fresh fruit.,0.1591352141678266,0.14592049007106203,0.26671986028068284
96,96,He just took the pills.,He wants to sleep very much now.,Pills cause a desire to sleep.,0.014033043205780728,0.016677689560231204,0.01968006074336452
97,97,My mother stewed a mahimachi for me at noon.,I've been picking fish bones for a long time.,Mahimachi are fish bones.,0.006671821721883683,0.006069793985056439,0.007184934474895037
98,98,They are botanists.,They collect specimens everyday.,Botanists collect specimens.,0.0014904078432979848,0.01910826500290626,0.0022960820493989798
99,99,The old man wants to catch some sunfish.,He caught a bluegill.,Bluegills are very similar to sunfish.,2.841520446642377,2.016606700940551,4.00649926552663
100,100,This mobile phone is not durable.,The battery often fails to charge.,Charge depends on durability.,0.024032711008811384,0.02168334775907375,0.024698090956760604
101,101,Tom was finding the fly in his house at night.,He failed.,Flies are nocturnal.,0.004891387977743381,0.0036072988442433927,0.004240468590823131
102,102,The baby ground squirrels were hidden by their mom.,They were not found by the rattlesnakes.,Rattlesnakes eat baby ground squirrels.,0.002463602947511054,0.006396770307657793,0.016748081761050724
103,103,Tom committed incest and rape.,He was sentenced to death.,A criminal gets death.,0.02087738121075626,0.03825177245346448,0.0297977130123816
104,104,Gongress passed some proposals.,Small buiness benefited from these proposals.,Proposals help small business.,0.008540774418955097,0.02072147977723072,0.028653790888623153
105,105,Tom's taste buds on his tongue all lost their function.,Tom couldn't be able to know the taste of whatever he eats.,Taste is sensed by taste buds.,0.018135201910010487,0.02116391310034002,0.02139162466344176
106,106,He mistook lots of thiocyanate.,His thyroid can't uptake iodine normally.,Thiocyanate interferes with iodine uptake by the thyroid.,0.05691021692102491,0.45739083267186753,0.06978674601163619
107,107,This creature has no anatomies.,Tom decided it isn't a colugo.,Colugos have anatomies.,0.01298112992047678,0.011014951680646657,0.006541889563892695
108,108,He fed meat to the Jackrabbit.,The jackrabbit doesn't eat at all.,Jackrabbits are meat eating animals.,0.02593096923627933,0.03744776779897273,0.04305162781238764
109,109,Tom perfers beers made with bottom Fermenting yeasts.,He ordered lagers in the bar every time.,Lagers are generally beers made with bottom fermenting yeasts.,0.2413420940367314,0.29824878344393685,0.39432529122771753
110,110,The species populations in this area changed abnormally over time.,The process of Succession here was worth exploring.,Succession is the gradual change in the composition of a species population over time.,0.03888381242641406,0.03861111046959723,0.04872805648052258
111,111,Tom has put different kinds of materials in the furnace.,Only beryllium has been left.,Beryllium is rare in materials.,0.01746106053407216,0.02027208718731534,0.01782107432628021
112,112,The ancients recorded by picture writing.,Pictographs were formed step by step.,Pictographs are picture writing.,0.025778157094624346,0.023127552549764174,0.02437446914618758
113,113,"My car is exposed to the acid rain,.",The paint on my car is clipped.,Paint is affected by acid rain.,0.011334412794456595,0.011556834212081108,0.015787629443035866
114,114,Jane wanted to buy a book full of maps bound together.,She bought some atlases.,Atlases are bound together maps.,0.010464668967588527,0.008353752986746234,0.015246886420501269
115,115,Mary put the cake into the refrigeratory.,Mary found the cake was rich in moisture the next day.,Refrigeration retains moisture.,0.01908599875440746,0.021594496431173442,0.024376891318158077
116,116,The doctor treated little Tom's autism with medication.,"After three months of treatment, his autism has improved significantly.",Medications produce significant effects.,0.02383520976411395,0.02834863072672588,0.04267895000333163
117,117,There are many trees with different ages.,They have different textures.,Age affects texture.,0.00996153379785775,0.00960278703394116,0.013060820092857623
118,118,Surface gauss depends on thickness and size of the magnet.,Gauss strength diminishes the further the distance from the magnetic field.,Gauss strength depends on the thickness of the magnet.,0.1532230150311142,0.1521574238327144,0.13113554209023423
119,119,This group of Greys have grown up.,They are large.,Greys reach maturity.,0.005194273768763158,0.006413840221089981,0.007570939273002886
120,120,The sink has great capacity.,It can hold water up to two liters.,Sofas can hold water.,0.022434500554891226,0.021524026325213077,0.021175660918019028
121,121,Jack looks at the shape of the rotifers.,He saw their bilateral symmetry.,Rotifers have bilateral symmetry.,0.008092518562733323,0.014635164461668012,0.0066254141726160695
122,122,Tom did examinations to see whether he got cancer.,The doctor's diagnosis confirmed his thought.,Examinations confirm diagnoses.,0.03219044060489098,0.023949773572153693,0.035631278967026225
123,123,Tom believes that dogs and wolves belong to the same phylum.,Tom is wrong.,Phyla have division.,0.007895527889446646,0.007809850954610386,0.09462165429759724
124,124,The light was off at 10 pm.,My pupils became bigger suddenly.,Pupils change size.,0.0036100438451848083,0.007348973072816183,0.007842005269609785
125,125,Susan is a midwife.,She was specially trained in childbirth.,Midwifes have skills.,0.029730271725032637,0.00941066144462297,0.02479755658881397
126,126,He invited his partners to his residence.,They entered his residence.,Partners enter residences.,0.003482112956350984,0.00680858639375873,0.004683715866041549
127,127,"In the humid environment, pecan is easier to grow mold on it.",Pecan should be stored in the relatively dry environment.,Pecans are basically dry goods.,0.023901504411672016,0.03163072871409936,0.029241957413704903
128,128,This biologist has problems in other scientific fields to solve.,Another bilogist helps him.,Bilogists specialize in other scientific fields.,9.570064837189274e-05,0.00010577440083209203,0.006963693008302038
129,129,Leaders of pyramid schemes are extremely good at instilling their own perceptions to members.,"As time goes by, their influence on members grows stronger and stronger.",Circumstances contribute to influence.,0.012616535930979882,0.013110997319479257,0.014267095548085362
130,130,Tom was looking for Amphibians in winter.,He could only found some sleeping.,Amphibians are mainly nocturnal especially in winter.,0.09263340612367187,0.0709639954818568,0.06933567406704709
131,131,The murderer didn't accept himself for a whole life.,He didn't achieve wellness.,Wellness is acceptance of oneself.,0.012078301388347116,0.003979122667407224,0.02528939134778576
132,132,My pet tom is in the mating season.,He eats very little.,Toms eat very little during mating season.,0.013668713896834503,0.021353392343673377,0.02312654946421153
133,133,Tom's family go hiking on the plain.,They find mangroves.,Mangroves occupy positions.,0.0037341910576973434,0.0023929009205547456,0.006540946537238787
134,134,This kind of bear grew in the forest.,This kind of bear habitates in the forest.,Growth affects bear habitats.,0.012067463565576097,0.03607712592265516,0.022798623100826275
135,135,Water with minerals flows in the water mains.,On the surface of water mains is some solid stuff.,Sediment is the result of an accumulation of minerals in the water mains.,0.04668975694296889,0.04989752566315302,0.08221096218173259
136,136,She was particularly fat.,She had been suffering from diabetes.,Diabetes is a disease of obesity.,0.008761427761268318,0.03357462360409643,0.013043033086352874
137,137,It is in the breeding season.,Testicles descend.,Testicles descend during the breeding season.,0.030391482523997607,0.03664529445978264,0.03319282213755635
138,138,The anaconda saw his food in the forest.,He opened his mouth.,Anacones have large mouths.,0.0072672664937871835,0.007930035862152202,0.009049250089216278
139,139,The rope connected to my dog was broken.,It ran to other's areas.,Dogs invade areas.,0.013791143728734136,0.015207662158915568,0.012331898084923233
140,140,Tom was standing in the river and can't move a step.,His legs are entangled in duckweed.,Duckweeds grow in water.,0.026432673493777255,0.06754891771877536,0.03403631342205323
141,141,Tom observed the nucleoli of different kinds of chromosomes under the optical microscope.,Tom observed that most of them contain several associated centromeres.,Nucleoli of different kinds of chromosomes contain several associated centromeres.,1.118279402038644,1.6018859895845075,0.8410160688109216
142,142,The research set specific aspartate sites.,Caspases cleave target proteins.,Caspases attack proteins at specific aspartate sites.,0.043507767927968385,0.1402903017277521,0.03969748415032311
143,143,We succeed in the end.,Our fate has been changed.,Fate depends on success.,0.012339123810004488,0.008720853170707638,0.018075056194939838
144,144,Some plants are infected by a rare kind of virus.,Their cotyledons are destroyed first.,Cotyledons are the site of infection.,0.004828380379817848,0.004904950042577472,0.00652613582000802
145,145,They went to catch eels today.,Many were found after seeing a leaking head in crevices.,Eels tend to live in crevices.,0.010796331591497751,0.011393771659450588,0.012940630124385807
146,146,Tom's goats were attacked by vampires.,The goats died of blood shortage.,Vampires can drink blood.,0.040875521281918396,0.03572794510573187,0.04267266405998384
147,147,This user spent over 8 hours a day at this site.,This user had a high level of stickiness.,Stickiness is measured by staying active over a period of time.,0.01496882093090548,0.022507913320147205,0.02410007112791939
148,148,Lucy gave me a pen.,I bought ink for the pen.,Pens use ink.,0.05868880878551714,0.05125660414492978,0.04968552683923001
149,149,We need a person skilled in all aspects of construction.,A carpenter will be recruited.,Carpenters are highly skilled professionals.,0.011947046735187282,0.016073991625081333,0.01374569644735166
150,150,Tom was born and brought up in Indinana.,Tom is American.,Inhabitants inhabit states.,0.00770709756088441,0.006888245958083398,0.008487527049767312
151,151,Some enzymes are working on the dead body of a bird.,The body decomposes gradually.,Decomposition is driven by enzymatic catalysis.,0.013839945591770165,0.009810429249007623,0.06256343189639846
152,152,Many goods have been reduced in price recently.,Deflation makes all kinds of shops miserable.,Deflation is a decrease in the general level of prices as measured by some price index.,0.034538387831591376,0.03618265102066791,0.038310251172348916
153,153,Judy suffered from tics.,She had involuntary movements in her body.,Tics are involuntary movements in the body.,0.03017227201098038,0.019294915527951418,0.039123732442568816
154,154,Tom wants to have a bath.,Tom filled the bath tub with hot water.,Baths are made of hot water.,0.05623325695023086,0.07342526526432981,0.04577123894942548
155,155,This monster killed a boy.,This monster was pleased.,Killers get satisfaction.,0.019122524858830092,0.011313140299255354,0.038236426621275445
156,156,Hardwoods are deciduous.,They lose their leaves each fall.,Hardwoods are deciduous meaning they lose their leaves each fall.,0.06375093791656768,0.04573168510896844,0.0873011631881232
157,157,"Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth.",The scientist finds that aeration also accurs as they grow.,Aeration also occurs in live plants as they grow.,0.03714871996767558,0.03014507377550899,0.058180212962931084
158,158,John only sells amphetamines.,He only looks for people who have failed other weight loss methods.,Amphetamines are only to be used by people who have failed other weight loss methods.,0.005568679129527004,0.02051197233094402,0.005680661267134736
159,159,The author used Personification to descibe the inanimate object.,The reader felt  as though it had human capacities.,Personification is the perception of an inanimate object having human capacities.,0.01939658040245835,0.019546476800976702,0.027033000904342457
160,160,They dissected the human ear to see the structure of cochlea.,They found there were  a basilar turn with a cystic cavity.,Cochlea consists of a basilar turn with a cystic cavity.,0.018233526576901617,0.016674575202049395,0.06642088793613143
161,161,His mother carried the decay-causing bacteria and kissed him.,He was infected.,Killing causes infection.,0.007028827132903155,0.04119975232261443,0.014960021449170238
162,162,Oil is lost quickly during drilling.,Workers use acrylamide.,Acrylamide is used in oil drilling to recover oil.,0.012606472384257446,0.016247290818738692,0.04645605217645611
163,163,Several moles were introduced into a piece of farmland where harmful insects thrived.,The insects decreased swiftly in number.,Moles help control populations of harmful insects.,0.008973473353961522,0.022615021984058944,0.02545675509942028
164,164,Tom's grandmother is a witch.,Many altars have been set up in his courtyard.,Altar is a type of altar.,0.007917554780551669,0.005493646984493791,0.008986414745766847
165,165,Breast tissue is expected to be activated.,Prolactin is needed.,Prolactin activates breast tissue.,0.19438579258799962,0.29044740304834793,0.16848905931249913
166,166,Tom was interested in studying movement.,Tom majored in kinesiology.,Kinesiology is the study of movement.,0.0440479877793247,0.04132334087923077,0.05016829531910803
167,167,We came to Pygmy land.,They took us in.,Pygmies take care.,0.00563787878722545,0.005243279614978089,0.009195169627341498
168,168,Tom wanted some lahars.,He went to a volcano and got some accumulations of unconsolidated materials on the flanks.,Lahars are accumulations of unconsolidated materials on the flanks of volcanoes.,0.1145500743248253,0.004034201364128325,0.07899975503528311
169,169,Tom sweats a lot.,The doctor said he was suffering from a skin disease.,Sweat is produced to cool the skin down.,0.01479462168832604,0.018949799887940297,0.015694933147405256
170,170,The seller should avoid nature's way of spoiling things like food.,He found ways to prevent oxidation.,Oxidation is nature's way of spoiling things like food.,0.032280018497169785,0.03703106505440034,0.06239685658065544
171,171,She is the best receptionist in her company.,She is very good at communicating with others.,Receptionists have good communication.,0.011118139346648914,0.029191249046043404,0.017938596264997917
172,172,The man took a photo of the bipe.,His friend saw the two small front limbs on that photo.,Biopes have small front limbs.,0.012954245905780747,0.013682452400352194,0.0127622961872289
173,173,He can't see clearly.,There must be something wrong with the nuclei in his brainstem.,Nuclei control vision.,9.825266566180989e-05,0.06923351245565457,0.00010245598825696756
174,174,Tom has a weak photosensitivity.,He was allergic to the sunshine.,Photosensitivity is defined as the allergic reaction to light.,0.01575253485011668,0.020712316112519197,0.022368977019873604
175,175,The researcher marked the different allotropes of sulphur.,The researcher found five types of sulphur.,Sulphur has components.,0.004747385478097957,0.00777113627462203,0.0068369482506474176
176,176,Bill put oil on the firewood.,The whole kitchen was burnt down more quickly.,Firewoods have thickness.,0.026673094535886132,0.019497250945928243,0.03199246929457606
177,177,Lucy has suffered from the gonococcal infection when she was pregnant.,The doctor gave him some medicine containing spectinomycin.,Spectinomycin is used to treat certain gonococcal infections in women.,0.022315588093312286,0.02853267889249555,0.0277849645427389
178,178,"A woman got infectious in her wound, which led to bacteremia.",The doctor used antipyretic to treat her fever.,Antipyretics are medications designed to reduce fever.,0.02507554043407941,0.110605979104462,0.026419961740496167
179,179,Jack put amylase into starch.,The breakdown of starch is accelerated.,Amylase speeds starch breakdown.,0.10642753934850702,0.08740734618413583,1.1967883716289553
180,180,Peter likes to go fishing by the lake in spring.,He often catches walleye.,Walleye are generally warmwater fish.,0.25513332035791775,0.31663218660514886,0.39687405389009345
181,181,Tom suffered from the demyelination many years ago.,He recently was diagnosed with the multiple sclerosis.,Demyelination leads to progressive dysfunction such as seen in multiple sclerosis.,0.1383803433893951,0.12665232745562355,0.1001274949726209
182,182,There are different kinds of weather in different places on the earth.,It is much colder along fault lines.,Colds happen in the winter earthquakes along fault lines hurricaines in the ocean.,0.014480926446445096,0.04377978480862581,0.04987009969644594
